239108 3
0.684 0.44 6.465
0.635 0.507 5.862
0.588 0.715 5.26
0.556 0.376 4.795
0.52 0.406 4.197
0.436 0.271 2.519
0.408 -0.037 0.778
0.431 0.096 2.728
0.41 -1.299 2.056
0.452 -6.122 3.272
0.481 2.731 3.739
0.505 1.827 3.998
0.594 0.884 5.474
0.229 0.807 6.446
0.202 1.023 6.381
0.224 0.437 6.585
0.24 0.711 6.451
0.72 0.238 6.129
0.653 0.547 5.061
0.512 0.404 1.309
0.388 0.61 0.251
0.293 0.134 -1.822
0.258 0.444 -1.946
0.25 0.137 -2.549
0.24 -1.162 -2.677
0.393 -6.331 -0.261
0.61 2.192 4.535
0.704 0.81 5.568
0.772 1.081 6.554
0.706 1.464 5.574
0.547 0.879 3.449
0.362 1.223 0.309
0.277 0.676 -0.478
0.187 0.438 -1.68
0.166 0.341 -2.011
0.228 0.443 -0.8
0.241 0.132 -1.014
0.244 0.341 -1.351
0.243 0.576 -1.617
0.237 0.136 -1.883
0.221 -1.334 -2.487
0.213 -5.378 -2.484
0.214 0.448 -2.481
0.214 0.137 -2.619
0.291 -0.341 -1.076
0.427 0.076 1.855
0.594 0.203 5.448
0.556 0.062 5.287
0.377 0.035 5.025
0.324 0.204 4.19
0.209 0.273 1.713
0.148 0.64 1.444
0.156 0.102 1.121
0.16 -0.375 0.517
0.17 -1.054 0.121
0.146 0.268 -0.618
0.169 2.335 -0.881
0.152 1.825 -1.553
0.216 1.453 -0.477
0.245 0.979 -0.477
0.264 0.546 -0.41
0.288 -4.396 -0.343
0.401 -2.171 3.196
0.602 2.991 6.01
0.391 0.809 4.048
0.213 0.882 1.645
0.171 -0.174 0.911
0.138 -5.163 -0.144
0.183 -5.063 0.8
0.2 -0.168 1.598
0.225 -1.152 1.257
0.223 -2.272 0.59
0.227 1.588 0.524
0.199 0.464 -0.143
0.191 0.475 -1.284
0.148 -0.246 -3.096
0.217 0.299 -1.137
0.423 0 1.478
0.749 1.092 5.999
0.758 0.54 5.312
0.505 0.306 0.974
0.362 0.268 -0.963
0.328 -0.241 -0.612
0.325 1.023 -0.544
0.358 0.265 -1.015
0.34 -0.173 -1.754
0.34 1.127 -1.683
0.325 -2.186 -1.881
0.341 -3.939 -1.945
0.197 -2.99 -5.971
0.234 6.111 -5.296
0.228 3.073 -4.419
0.25 1.861 -4.083
0.308 0.842 -3.214
0.48 0.13 1.322
0.612 0.82 3.702
0.694 -0.04 5.292
0.781 -0.143 6.749
0.741 0.273 6.237
0.592 0.581 2.834
0.385 0.445 -0.158
0.391 0.303 0.991
0.352 0.34 -0.484
0.324 0 -0.545
0.332 0.17 -1.015
0.271 -2.154 -2.824
0.257 -6.361 -3.086
0.321 2.762 -3.49
0.281 2.436 -4.089
0.277 1.793 -3.478
0.273 1.324 -4.15
0.224 0.511 -4.621
0.266 0.569 -3.948
0.409 0.41 -1.059
0.57 0.17 2.774
0.734 0.405 5.303
0.807 0 6.354
0.858 0.273 5.49
0.472 0.27 0.632
0.537 0.032 4.471
0.467 0.136 2.989
0.413 -3.55 0.912
0.376 -7.744 0.785
0.376 2.64 0.855
0.333 0.171 -0.081
0.35 3.02 0.457
0.292 0.702 -0.215
0.372 0.472 1.863
0.341 1.566 1.995
0.372 0.37 2.992
0.427 -0.109 3.863
0.468 -1.68 5.139
0.335 -2.823 6.048
0.251 -2.162 4.584
0.162 -3.044 2.115
0.099 -1.82 0.515
0.102 -0.306 1.125
0.143 0.138 2.339
0.142 0.24 2.19
0.097 -0.712 0.248
0.114 -1.282 0.383
0.161 -0.787 1.732
0.18 -0.091 2.058
0.192 -0.209 1.917
0.284 0.494 3.191
0.419 0.845 5.582
0.263 0.64 6.793
0.169 0.334 3.645
0.095 0.266 3.579
0.094 0.58 2.921
0.115 1.229 2.922
0.144 0.639 3.191
0.16 0.305 2.317
0.163 0.17 2.189
0.168 0.171 1.182
0.162 0.136 0.316
0.142 0 0.053
0.184 0.069 0.799
0.222 0.58 0.733
0.344 0.099 3.343
0.509 -0.443 6.86
0.094 -1.386 6.585
0.068 -1.886 5.582
0.042 -1.958 4.845
0.055 -2.201 5.062
0.034 -2.406 4.191
0.034 -2.714 3.997
0.036 -2.176 3.325
0.043 0.475 1.582
0.019 1.589 0.987
0.01 0.739 0.786
0.037 0.742 1.054
0.025 0.95 0.585
0.04 0.678 0.786
0.079 0.948 3.131
0.148 0.648 4.131
0.171 0.376 5.844
0.086 0.199 5.044
0.111 0.136 4.989
0.074 0.303 4.658
0.054 -0.036 3.25
0.042 0.169 3.123
0.048 -0.137 2.989
0.076 -0.615 3.526
0.066 -1.26 3.258
0.055 -2.23 2.116
0.038 -2.661 1.777
0.038 -2.155 1.787
0.05 -1.923 1.653
0.112 -1.792 3.529
0.235 -2.244 6.052
0.14 -1.534 6.315
0.091 0.103 5.19
0.05 0.668 4.123
0.033 0.749 4.197
0.037 0.259 3.997
0.053 0.511 3.728
0.058 0.613 3.459
0.067 0.708 3.056
0.072 0.338 2.989
0.076 0.747 2.59
0.085 0.646 2.324
0.099 -0.173 2.058
0.143 -0.416 2.194
0.384 -0.341 6.148
0.242 -0.37 5.251
0.157 -0.576 4.325
0.142 -1.017 2.857
0.114 -1.768 2.19
0.117 -2.263 1.854
0.085 -2.793 2.392
0.098 0.854 2.124
0.144 0.344 2.929
0.149 0.538 2.929
0.16 -0.034 3.332
0.171 0.103 2.925
0.195 -0.205 3.127
0.301 0.204 4.197
0.065 0.495 4.05
0.038 0.611 2.384
0.017 0.273 1.852
0.013 0.644 2.129
0.021 0.439 3.131
0.03 1.018 2.66
0.054 0.916 3.124
0.044 1.255 1.847
0.036 0.239 1.378
0.04 1.052 1.051
0.046 0.3 1.256
0.061 1.122 1.525
0.095 0.71 2.46
0.119 -0.172 4.599
0.127 -1.333 5.314
0.114 -3.488 5.322
0.131 -3.159 6.125
0.111 -2.215 4.921
0.059 -2.096 3.387
0.048 -1.555 3.054
0.052 -1.521 2.586
0.037 -0.752 1.787
0.05 0.703 2.059
0.065 4.345 2.802
0.156 3.726 3.865
0.39 2.743 6.179
0.202 0.102 4.316
0.138 1.011 3.524
0.163 0.41 3.459
0.195 0.395 3.392
0.195 0.48 2.723
0.187 0.52 2.189
0.201 0.37 2.324
0.202 -0.07 2.059
0.204 0 1.725
0.226 0.34 1.727
0.238 0.38 1.66
0.29 -0.21 2.063
0.429 -3.181 4.402
0.452 -8.14 6.92
0.428 -10.688 5.46
0.372 -6.167 4.392
0.342 4.213 2.988
0.314 4.164 3.258
0.313 2.17 2.72
0.311 1.212 2.793
0.298 1.767 1.854
0.283 0 1.787
0.3 0.434 2.192
0.303 0.308 2.06
0.476 0.408 4.066
0.274 0.271 5.846
0.229 0.613 4.189
0.192 0.27 4.395
0.235 0.24 4.601
0.244 -0.1 4.198
0.252 -0.89 4.131
0.234 -3.242 3.526
0.214 -7.49 2.722
0.188 5.158 2.19
0.186 0.726 1.854
0.189 1.014 1.926
0.239 0.95 2.664
0.417 2.416 5.406
0.043 1.834 6.458
0.042 0.305 6.531
0.017 0.677 5.862
0.027 0.745 5.124
0.036 -0.342 5.997
0.044 -0.445 4.989
0.06 1.807 5.195
0.074 -0.27 5.265
0.076 -2.913 4.795
0.074 -7.588 4.53
0.101 -7.803 4.532
0.185 -4.423 6.937
0.148 -2.334 5.856
0.112 -1.854 4.786
0.107 5.952 4.459
0.108 3.957 4.594
0.12 2.469 4.6
0.102 1.353 3.593
0.072 0.135 3.056
0.118 -3.084 3.862
0.277 -0.752 6.471
0.038 1.976 6.727
