2527 3
1476858116.590432 -1.037850 37.627380
1476858117.630161 -1.037850 37.627380
1476858118.669655 -1.037715 37.627372
1476858119.710386 -1.037445 37.627357
1476858120.750832 -1.037445 37.627357
1476858121.790674 -1.037313 37.627353
1476858122.842227 -1.036925 37.627367
1476858123.880152 -1.036925 37.627367
1476858124.919115 -1.036798 37.627377
1476858125.960122 -1.036555 37.627400
1476858126.998724 -1.036555 37.627400
1476858128.039128 -1.036437 37.627410
1476858129.080752 -1.036212 37.627423
1476858130.120333 -1.036212 37.627423
1476858131.169995 -1.035992 37.627420
1476858132.211595 -1.035885 37.627420
1476858133.252248 -1.035885 37.627420
1476858134.291638 -1.035680 37.627417
1476858135.332357 -1.035597 37.627418
1476858136.371901 -1.035597 37.627418
1476858137.411298 -1.035455 37.627420
1476858138.451858 -1.035380 37.627410
1476858139.507885 -1.035380 37.627410
1476858140.551548 -1.035212 37.627353
1476858141.590801 -1.035212 37.627353
1476858142.631220 -1.035118 37.627318
1476858143.670888 -1.034920 37.627245
1476858144.710513 -1.034920 37.627245
1476858145.751028 -1.034812 37.627205
1476858146.790693 -1.034443 37.627072
1476858147.843057 -1.034443 37.627072
1476858148.882206 -1.034443 37.627072
1476858149.921503 -1.034032 37.626927
1476858150.962148 -1.034032 37.626927
1476858152.001328 -1.033743 37.626827
1476858153.041353 -1.033593 37.626773
1476858154.081714 -1.033593 37.626773
1476858155.121547 -1.033283 37.626668
1476858156.171039 -1.033123 37.626613
1476858157.211023 -1.033123 37.626613
1476858158.251137 -1.032797 37.626503
1476858159.290851 -1.032635 37.626448
1476858160.332470 -1.032635 37.626448
1476858161.370839 -1.032312 37.626347
1476858162.410690 -1.032145 37.626302
1476858163.451450 -1.032145 37.626302
1476858164.503643 -1.031800 37.626237
1476858165.541928 -1.031622 37.626210
1476858166.590982 -1.031622 37.626210
1476858167.631797 -1.031272 37.626157
1476858168.671133 -1.031272 37.626157
1476858169.711704 -1.031098 37.626132
1476858170.751447 -1.030748 37.626077
1476858171.791198 -1.030748 37.626077
1476858172.843842 -1.030572 37.626053
1476858173.881423 -1.030045 37.625975
1476858174.920938 -1.030045 37.625975
1476858175.960273 -1.029870 37.625947
1476858177.000772 -1.029515 37.625897
1476858178.040315 -1.029515 37.625897
1476858179.080824 -1.029158 37.625882
1476858180.121794 -1.028985 37.625895
1476858181.172762 -1.028985 37.625895
1476858182.213055 -1.028677 37.625965
1476858183.252290 -1.028538 37.626007
1476858184.292052 -1.028538 37.626007
1476858185.333449 -1.028290 37.626043
1476858186.371038 -1.028167 37.626037
1476858187.412707 -1.028167 37.626037
1476858188.453035 -1.027947 37.625990
1476858189.512962 -1.027837 37.625992
1476858190.552546 -1.027837 37.625992
1476858191.591883 -1.027640 37.626013
1476858192.632404 -1.027640 37.626013
1476858193.672055 -1.027538 37.626007
1476858194.712611 -1.027325 37.625942
1476858195.752283 -1.027325 37.625942
1476858196.791844 -1.027217 37.625895
1476858197.833933 -1.026857 37.625743
1476858198.873442 -1.026857 37.625743
1476858199.912422 -1.026857 37.625743
1476858200.953100 -1.026472 37.625537
1476858201.992672 -1.026472 37.625537
1476858203.033185 -1.026348 37.625448
1476858204.072936 -1.026092 37.625260
1476858205.112466 -1.026092 37.625260
1476858206.165887 -1.025813 37.625070
1476858207.203158 -1.025662 37.624980
1476858208.242337 -1.025662 37.624980
1476858209.281999 -1.025337 37.624812
1476858210.322412 -1.025163 37.624737
1476858211.365587 -1.025163 37.624737
1476858212.402660 -1.024805 37.624598
1476858213.444246 -1.024633 37.624527
1476858214.499959 -1.024633 37.624527
1476858215.543675 -1.024320 37.624355
1476858216.583026 -1.024320 37.624355
1476858217.622543 -1.024190 37.624253
1476858218.662130 -1.023958 37.624032
1476858219.702636 -1.023958 37.624032
1476858220.744189 -1.023845 37.623918
1476858221.782801 -1.023510 37.623580
1476858222.834993 -1.023510 37.623580
1476858223.874222 -1.023510 37.623580
1476858224.914734 -1.023145 37.623242
1476858225.953272 -1.023145 37.623242
1476858226.993639 -1.023010 37.623135
1476858228.041607 -1.022722 37.622948
1476858229.083412 -1.022722 37.622948
1476858230.122516 -1.022413 37.622803
1476858231.173417 -1.022245 37.622760
1476858232.215142 -1.022245 37.622760
1476858233.254426 -1.021883 37.622728
1476858234.293810 -1.021698 37.622723
1476858235.336024 -1.021698 37.622723
1476858236.374051 -1.021323 37.622715
1476858237.413888 -1.021138 37.622710
1476858238.454288 -1.021138 37.622710
1476858239.507518 -1.020770 37.622680
1476858240.543861 -1.020770 37.622680
1476858241.584185 -1.020587 37.622645
1476858242.623770 -1.020222 37.622542
1476858243.662609 -1.020222 37.622542
1476858244.703795 -1.020037 37.622483
1476858245.744472 -1.019475 37.622308
1476858246.783522 -1.019475 37.622308
1476858247.837866 -1.019475 37.622308
1476858248.874819 -1.018923 37.622135
1476858249.914097 -1.018923 37.622135
1476858250.955439 -1.018743 37.622078
1476858251.994126 -1.018388 37.621965
1476858253.041213 -1.018388 37.621965
1476858254.083467 -1.018040 37.621840
1476858255.124103 -1.017868 37.621777
1476858256.177649 -1.017868 37.621777
1476858257.218208 -1.017527 37.621643
1476858258.255774 -1.017362 37.621577
1476858259.295331 -1.017362 37.621577
1476858260.338745 -1.017037 37.621438
1476858261.376543 -1.016877 37.621372
1476858262.414915 -1.016877 37.621372
1476858263.457374 -1.016557 37.621240
1476858264.506429 -1.016398 37.621175
1476858265.545865 -1.016398 37.621175
1476858266.584335 -1.016082 37.621043
1476858267.623753 -1.016082 37.621043
1476858268.665544 -1.015925 37.620978
1476858269.704039 -1.015613 37.620845
1476858270.745769 -1.015613 37.620845
1476858271.784058 -1.015458 37.620782
1476858272.837413 -1.014990 37.620600
1476858273.876023 -1.014990 37.620600
1476858274.923950 -1.014840 37.620545
1476858275.964753 -1.014575 37.620445
1476858277.004366 -1.014575 37.620445
1476858278.045563 -1.014472 37.620387
1476858279.085225 -1.014352 37.620220
1476858280.125924 -1.014352 37.620220
1476858281.177327 -1.014290 37.620030
1476858282.218453 -1.014238 37.619947
1476858283.258587 -1.014238 37.619947
1476858284.298164 -1.014075 37.619828
1476858285.346609 -1.013965 37.619800
1476858286.385478 -1.013965 37.619800
1476858287.425087 -1.013742 37.619817
1476858288.465728 -1.013633 37.619862
1476858289.518249 -1.013633 37.619862
1476858290.558182 -1.013467 37.620005
1476858291.598457 -1.013467 37.620005
1476858292.639056 -1.013417 37.620092
1476858293.678479 -1.013395 37.620275
1476858294.718303 -1.013395 37.620275
1476858295.758584 -1.013407 37.620363
1476858296.798353 -1.013323 37.620617
1476858297.854833 -1.013323 37.620617
1476858298.898793 -1.013323 37.620617
1476858299.940123 -1.013053 37.620847
1476858300.978822 -1.013053 37.620847
1476858302.019191 -1.012950 37.620928
1476858303.058877 -1.012737 37.621102
1476858304.098709 -1.012737 37.621102
1476858305.139222 -1.012522 37.621278
1476858306.192198 -1.012415 37.621370
1476858307.238645 -1.012415 37.621370
1476858308.278159 -1.012207 37.621550
1476858309.318861 -1.012100 37.621637
1476858310.357019 -1.012100 37.621637
1476858311.403824 -1.011883 37.621797
1476858312.447250 -1.011768 37.621865
1476858313.485799 -1.011768 37.621865
1476858314.536164 -1.011522 37.621982
1476858315.578418 -1.011392 37.622028
1476858316.618412 -1.011392 37.622028
1476858317.658266 -1.011142 37.622105
1476858318.697819 -1.011142 37.622105
1476858319.739428 -1.011022 37.622137
1476858320.777917 -1.010685 37.622140
1476858321.818770 -1.010685 37.622140
1476858322.880066 -1.010685 37.622140
1476858323.918041 -1.010392 37.622078
1476858324.958492 -1.010392 37.622078
1476858325.998135 -1.010327 37.622027
1476858327.038699 -1.010222 37.621880
1476858328.077971 -1.010222 37.621880
1476858329.117563 -1.010103 37.621715
1476858330.158232 -1.010042 37.621627
